native-country = India | Count: 100 | Precision: 0.9750 | Recall: 0.9750 | F-beta: 0.9750
native-country = ? | Count: 583 | Precision: 0.9510 | Recall: 0.9315 | F-beta: 0.9412
native-country = Mexico | Count: 643 | Precision: 1.0000 | Recall: 0.9394 | F-beta: 0.9688
native-country = South | Count: 80 | Precision: 0.8824 | Recall: 0.9375 | F-beta: 0.9091
native-country = Puerto-Rico | Count: 114 | Precision: 0.9167 | Recall: 0.9167 | F-beta: 0.9167
native-country = Honduras | Count: 13 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = England | Count: 90 | Precision: 0.9655 | Recall: 0.9333 | F-beta: 0.9492
native-country = Canada | Count: 121 | Precision: 0.9250 | Recall: 0.9487 | F-beta: 0.9367
native-country = Germany | Count: 137 | Precision: 0.9545 | Recall: 0.9545 | F-beta: 0.9545
native-country = Iran | Count: 43 | Precision: 0.8750 | Recall: 0.7778 | F-beta: 0.8235
native-country = Philippines | Count: 198 | Precision: 1.0000 | Recall: 0.9180 | F-beta: 0.9573
native-country = Italy | Count: 73 | Precision: 0.9600 | Recall: 0.9600 | F-beta: 0.9600
native-country = Poland | Count: 60 | Precision: 0.9231 | Recall: 1.0000 | F-beta: 0.9600
native-country = Columbia | Count: 59 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = Cambodia | Count: 19 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = Thailand | Count: 18 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = Ecuador | Count: 28 | Precision: 1.0000 | Recall: 0.7500 | F-beta: 0.8571
native-country = Laos | Count: 18 | Precision: 1.0000 | Recall: 0.5000 | F-beta: 0.6667
native-country = Taiwan | Count: 51 | Precision: 0.9500 | Recall: 0.9500 | F-beta: 0.9500
native-country = Haiti | Count: 44 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = Portugal | Count: 37 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = Dominican-Republic | Count: 70 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = El-Salvador | Count: 106 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = France | Count: 29 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = Guatemala | Count: 64 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = China | Count: 75 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = Japan | Count: 62 | Precision: 0.9583 | Recall: 0.9583 | F-beta: 0.9583
native-country = Yugoslavia | Count: 16 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = Peru | Count: 31 | Precision: 0.5000 | Recall: 0.5000 | F-beta: 0.5000
native-country = Outlying-US(Guam-USVI-etc) | Count: 14 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = Scotland | Count: 12 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = Trinadad&Tobago | Count: 19 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = Greece | Count: 29 | Precision: 0.8571 | Recall: 0.7500 | F-beta: 0.8000
native-country = Nicaragua | Count: 34 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = Vietnam | Count: 67 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = Hong | Count: 20 | Precision: 0.8571 | Recall: 1.0000 | F-beta: 0.9231
native-country = Ireland | Count: 24 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
native-country = Hungary | Count: 13 | Precision: 1.0000 | Recall: 0.6667 | F-beta: 0.8000
native-country = Holand-Netherlands | Count: 1 | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000
